Paper,Year,Venue,Dataset,Task,N_subjects,N_channels,Preprocessing,Feature_type,Freq_bands,Segment_length_s,CV_scheme,Threshold,Majority_baseline_pct,Majority_baseline_reported,Reported_acc_pct,Std,Code_available,Credibility,Leakage_type
MSHCL (Chang et al.),2025,IEEE TAFFC,FACED,binary pos/neg,123,30,200Hz downsampled (CLISA pipeline) + stratified norm + last 30s per video,DE from learned encoder + LDS,n/r (defers to CLISA),n/r (CLISA-inherited),10-fold subject CV (Chen protocol),stimulus,50.0,no,77.0,n/r,yes,MEDIUM,PDF not personally read
MSHCL (Chang et al.),2025,IEEE TAFFC,FACED,9-class,123,30,200Hz downsampled (CLISA pipeline) + stratified norm + last 30s per video,DE from learned encoder + LDS,n/r (defers to CLISA),n/r (CLISA-inherited),10-fold subject CV,stimulus,11.1,no,45.7,n/r,yes,MEDIUM,
DAEST (Shen et al.),2025,IEEE TAFFC,FACED,binary pos/neg,123,30,official/complete,DE+CNN,5 bands,30s,10-fold subject CV,stimulus,50.0,no,81.7 / 75.5,+/-4.3/+/-5.5,yes,MEDIUM,Table I vs Table VI preprocessing gap 6-9pp
DAEST (Shen et al.),2025,IEEE TAFFC,FACED,9-class,123,30,official/complete,DE+CNN,5 bands,30s,10-fold subject CV,stimulus,11.1,no,67.9 / 59.3,+/-7.3/+/-7.7,yes,MEDIUM,
SDC-Net (Tang et al.),2025,arXiv,FACED,binary pos/neg,123,32,n/r (refs Chen 2023),DE via STFT,5 bands (delta/theta/alpha/beta/gamma),n/r,? (FACED protocol unverified in main),stimulus,50.0,no,75.2,+/-8.46,yes,MEDIUM,310D input on 32ch; FACED protocol in supplement only
SDC-Net (Tang et al.),2025,arXiv,FACED,9-class,123,32,n/r (refs Chen 2023),DE via STFT,5 bands (delta/theta/alpha/beta/gamma),n/r,LOSO single-session,stimulus,11.1,no,42.4,+/-6.55,yes,MEDIUM,
EmT (Ding et al.),2025,IEEE TNNLS,FACED,binary valence (self-report),123,32,bandpass 0.05-47Hz + ICA at 250Hz,rPSD (Welch),7 bands (delta/theta/alpha/lowbeta/beta/highbeta/gamma),20s window 4s hop (sub-segment 2s/0.5s),leave-12-out 10-fold (n_FACED=12),self-report 3.0,n/r,no,60.8,F1=0.740,yes,HIGH,self-report task (different from stimulus binary); cleanest protocol
Chen SVM baseline,2023,dataset paper,FACED,binary pos/neg,123,30,Chen preprocessing,DE,5 bands,1s,10-fold subject CV,stimulus,50.0,yes,69.3,+/-1.5 SE,yes,HIGH,baseline
Chen SVM baseline,2023,dataset paper,FACED,9-class,123,30,Chen preprocessing,DE,5 bands,1s,10-fold subject CV,stimulus,11.1,yes,35.2,+/-1.0 SE,yes,HIGH,baseline
CLISA (Chen),2023,dataset paper,FACED,9-class,123,30,Chen preprocessing,contrastive embeddings,n/r,1s,10-fold subject CV,stimulus,11.1,yes,42.4,+/-1.2 SE,yes,HIGH,baseline
SOGNN (Li et al.),2021,Frontiers in Neurosci,SEED,3-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,33.3,no,86.81,+/-5.79,yes,HIGH,none (stimulus labels)
SOGNN (Li et al.),2021,Frontiers in Neurosci,SEED-IV,4-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,25.0,no,75.27,+/-8.19,yes,HIGH,
RGNN (Zhong et al.),2020,IEEE TAFFC,SEED,3-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,33.3,no,85.30,+/-6.72,yes,HIGH,
RGNN (Zhong et al.),2020,IEEE TAFFC,SEED-IV,4-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,25.0,no,73.84,+/-8.02,yes,HIGH,
BiHDM (Li et al.),2021,IEEE TCDS,SEED,3-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,33.3,no,85.40,+/-7.53,yes,HIGH,
BiHDM (Li et al.),2021,IEEE TCDS,SEED-IV,4-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,25.0,no,69.03,+/-8.66,yes,HIGH,
BiDANN-S (Li et al.),2018,IEEE TAFFC,SEED,3-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,33.3,no,83.28,+/-9.60,yes,HIGH,
DAN (Li et al.),2018,IEEE TAFFC,SEED,3-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,33.3,no,83.81,+/-8.56,yes,HIGH,
DAN (Li et al.),2018,IEEE TAFFC,SEED-IV,4-class,15,62,bandpass + downsample,DE,5 bands,1s,LOSO 15-fold,N/A,25.0,no,58.87,+/-8.13,yes,HIGH,
DGCNN (Song et al.),2020,IEEE TAFFC,SEED,3-class,15,62,SEED official ExtractedFeatures + per-subject z-score,DE,delta/theta/alpha/beta/gamma,1,LOSO 15-fold,n/a,33.3,no,79.95,9.02,yes,HIGH,none
DGCNN (Song et al.),2020,IEEE TAFFC,SEED-IV,4-class,15,62,SEED-IV official ExtractedFeatures,DE,delta/theta/alpha/beta/gamma,1,LOSO 15-fold,n/a,25.0,no,52.82,9.23,yes,HIGH,none
Kukhilava et al. (EEGain) DREAMER,2025,arXiv 2505.18175,DREAMER,binary V/A,23,14,standardized (EEGain framework),DE,theta/alpha/beta/gamma (4-band),1,LOSO 23-fold,>3 strict,~50,yes,60 V / 47 A,n/a,yes,HIGH,none (honest)
FBAGAN (Chen et al.),2024,J. Neurosci. Methods,DEAP,binary V/A,32,32,DEAP-preprocessed 4-45Hz @128Hz,DE,4 bands (no delta),1,LOSO 32-fold,5.0,57-59 (derived),no,65.18 V / 69.64 A,n/r,no,MEDIUM,val=test (held-out subject doubles as val)
SparseDGCNN (Zhang et al.),2023,IEEE TAFFC,DEAP,binary V/A,32,32,last 60s per trial,DE/PSD/DASM/RASM/ASM/DCAU sweep,4 bands (theta/alpha/beta/gamma),2s with 1s overlap,LOSO 32-fold,5.0,57-59 (derived),no,64.66 V / 66.65 A,n/r,n/r,MEDIUM,max-fold reporting (not mean); overlapping windows
EPNNE (Zhang et al.),2024,IEEE JBHI,FACED,binary pos/neg,123,30,n/r,n/r,n/r,n/r,LOSO domain generalization,stimulus,50.0,no,82.81,+/-3.28,n/r,MEDIUM-HIGH,DG (no target data in training); cleanest protocol
CSCL (Alghamdi et al.),2025,Sci Reports,FACED,9-class,123,30,n/r,hyperbolic contrastive embeddings,n/r,n/r,10-fold sequential subject CV,stimulus,11.1,no,65.98,+/-4.09,no,MEDIUM,sequential not shuffled folds; no MSHCL/DAEST comparison
DGCNN (Song et al.),2018,IEEE TAFFC (applied),FACED,binary pos/neg,123,30,Chen 2023 official,DE,5 bands,1,LOSO,stimulus,50.0,no,68.25,+/-7.92,yes,HIGH,baseline; reproduced via DAMSDAN Table IV
PR-PL (Zhou et al.),2024,IEEE TAFFC,SEED,3-class,15,62,SEED official ExtractedFeatures,DE,5 bands,1,LOSO 15-fold,N/A,33.3,no,85.56,n/r,yes,HIGH,none
PR-PL (Zhou et al.),2024,IEEE TAFFC,SEED-IV,4-class,15,62,SEED-IV official ExtractedFeatures,DE,5 bands,1,LOSO 15-fold,N/A,25.0,no,74.92,n/r,yes,HIGH,none
DCGNN+CDAN (Xiao et al.),2025,IEEE TAFFC,SEED,3-class,15,62,SEED official ExtractedFeatures DE,DE,5 bands,1,LOSO 15-fold,N/A,33.3,no,88.12,+/-4.45,yes,HIGH,none
DCGNN+CDAN (Xiao et al.),2025,IEEE TAFFC,SEED-IV,4-class,15,62,SEED-IV official ExtractedFeatures,DE,5 bands,1,LOSO 15-fold,N/A,25.0,no,68.06,+/-10.09,yes,HIGH,none
AD-TCN (He et al.),2022,Comp. Biol. Med.,DREAMER,binary V/A,23,14,n/r,raw EEG (TCN encoder),N/A (end-to-end),n/r,LOSO 23-fold + adversarial DA,>3 strict (assumed),~50-54 (derived),no,66.56 V / 63.69 A,n/r,no,MEDIUM,PDF paywalled; preprocessing & val split not verified
VBH-GNN (Liu et al.),2024,ICLR,DREAMER,binary V/A,23,14 (+ECG),downsample 128Hz; crop-after-split,raw EEG+ECG (heterogeneous graph),N/A (end-to-end),4,LOSO 23-fold w/ supervised DA on target (1/5 fold labeled),>3 strict (median),~50-54 (derived),no,73.38 V / 70.64 A,+/-4.21 V / +/-7.74 A,n/r,MEDIUM,transductive target-label access (1 of 5 target folds labeled in training)
